company_name,company_address,company_ltd,company_lng,company_verified,company_coordinates
ABC-Reinigung Services AG,"Badenerstrasse 431, P.O. Box: 8003, Zurich",,,,
Abifor AG,"Luegislandstrasse 31, P.O. Box: 8051, Zurich",,,,
Abplanalp Floristen Blumen Schipfe AG,"Schipfe 25, P.O. Box: 8001, Zurich",,,,
Accenture AG,"Fraumünsterstrasse 16, P.O. Box: 8001, Zurich",,,,
AC-Treuhand AG,"Tödistrasse 47, P.O. Box: 8002, Zurich",,,,
Ac Treuhand Ag Association Consultants,"Bleicherweg 62 8002zurich, Zurich",,,,
Acutronic Medical Systems Ag,"Fabrik Im Schiffli 8816 Hirzel, Zurich",,,,
Adasys Ag,"Doerflistrasse 67 8050zurich, Zurich",,,,
ADC Advanced Datacommunication Consulting AG,"Renggerstrasse 3, P.O. Box: 8038, Zurich",,,,
Admedia Ag,"Ruetistrasse 4b Postfach 8134adliswil, Zurich",,,,
Adolf Kuhn AG,"Mühlackerstrasse 120, P.O. Box: 8046, Zurich",,,,
advoswiss GmbH,"Flüelastrasse 51, P.O. Box: 8047, Zurich",,,,
ÄRZTE SIHLMED GESUNDHEITSZENTRUM,"Badenerstrasse 333 / Albisriederplatz, P.O. Box: 8003, Zurich",,,,
ÄRZTEZENTRUM SIHLMED,"Badenerstrasse 333 / Albisriederplatz, P.O. Box: 8003, Zurich",,,,
AF Reinigungs AG,"Forchstrasse 136, P.O. Box: 8032, Zurich",,,,
AG Boa Lingua,"Schützengasse 23, P.O. Box: 8001, Zurich",,,,
AG Verlag Hoch- und Tiefbau,"Weinbergstrasse 49, P.O. Box: 8006, Zurich",,,,
Aids-Hilfe Schweiz,"Konradstrasse 20, P.O. Box: 8005, Zurich",,,,
Aids-Hilfe,"Kanzleistrasse 80, P.O. Box: 8004, Zurich",,,,
a1 - Industrieböden AG,"Dorfstrasse 27, P.O. Box: 8037, Zurich",,,,
AKAD Business,"Jungholzstrasse 43, P.O. Box: 8050, Zurich",,,,
AKAD College,"Jungholzstrasse 43, P.O. Box: 8050, Zurich",,,,
Aktivferien Ag,"Weidstrasse 6 Postfach 27 8472seuzach, Zurich",,,,
ALDEN Hotel Splügenschloss,"Splügenstrasse 2, P.O. Box: 8002, Zurich",,,,
Alfa AG Personalberatung,"Hardstrasse 100, P.O. Box: 8004, Zurich",,,,
allingua Übersetzungen AG,"Mühlegasse 13, P.O. Box: 8001, Zurich",,,,
allcare.ch Arzt- und Notfallzentrum AG,"Mürtschenstrasse 26, P.O. Box: 8048, Zurich",,,,
allegra das Sprachenzentrum,"Löwenstrasse 51, P.O. Box: 8001, Zurich",,,,
Allebusinesscenter,"Baadenerstrasse, Zurich",,,  Verified,
Alna - Innenausbau,"Berninaplatz 2, P.O. Box: 8057, Zurich",,,,
Alno (Schweiz) AG,"Badenerstrasse 581, P.O. Box: 8048, Zurich",,,,
Alpha Sprachstudio AG,"Stadelhoferstrasse 10, P.O. Box: 8001, Zurich",,,,
Alpha Taxi AG,"Zypressenstrasse 76, P.O. Box: 8004, Zurich",,,,
Alters- und Pflegeheim Birkenrain,"Bellariastrasse 21, P.O. Box: 8002, Zurich",,,,
Alterswohnungen und Altersheime der Stadt Zürich,"Asylstrasse 130, P.O. Box: 8032, Zurich",,,,
Altstadt,"Kirchgasse 4, P.O. Box: 8001, Zurich",,,,
Altried Zentrum für Menschen mit Behinderung,"Ueberlandstrasse 424, P.O. Box: 8051, Zurich",,,,
Altgold Münzenhandlung Erwin Dietrich AG,"Werdmühleplatz 4, P.O. Box: 8001, Zurich",,,,
Ambassador,"Falkenstrasse 6, P.O. Box: 8008, Zurich",,,,
Ammann Thomas Kontaktlinsen,"Hohlstrasse 25, P.O. Box: 8004, Zurich",,,,
AMW-Bike Petra Wüthrich,"Moosstrasse 82, P.O. Box: 8038, Zurich",,,,
am Zürichberg,"Dolderstrasse 107, P.O. Box: 8032, Zurich",,,,
Andrea Wiedmer Beauty Spa GmbH,"Florastrasse 1, P.O. Box: 8008, Zurich",,,,
Andor Michael,"Walchestrasse 11, P.O. Box: 8006, Zurich",,,,
Anliker Alarm AG,"Albulastrasse 55, P.O. Box: 8048, Zurich",,,,
Anrig Drogerie,"Forchstrasse 26, P.O. Box: 8008, Zurich",,,,
Antinsekt AG,"Gutstrasse 2, P.O. Box: 8055, Zurich",,,,
APARTHOTEL Familie H. Hugenschmidt,"Karlstrasse 5+ 3, P.O. Box: 8008, Zurich",,,,
Ape-Schreinerei Peier,"Friesstrasse 32, P.O. Box: 8050, Zurich",,,,
"Appenzeller Fredy, Transporte","Badenerstrasse 767, P.O. Box: 8048, Zurich",,,,
Appenzeller Elektro AG,"Birmensdorferstrasse 485, P.O. Box: 8055, Zurich",,,,
Aquatherm Wasserbetten Zuerich,"Ilgenstrasse 10, P.O. Box: 8032, Zurich",,,,
ARAG Aktiv-Reinigungen AG,"Förrlibuckstrasse 66, P.O. Box: 8005, Zurich",,,,
Arche Brockenhaus,"Hohlstrasse 489, P.O. Box: 8048, Zurich",,,,
Arche Zürich,"Hohlstrasse 489, P.O. Box: 8048, Zurich",,,,
Arimax Distribution AG,"Badenerstrasse 701, P.O. Box: 8048, Zurich",,,,
ARIGON Generalunternehmung AG,"Leutschenbachstrasse 52, P.O. Box: 8050, Zurich",,,,
ARNOSTI INNENEINRICHTUNGEN,"Werdstrasse 34, P.O. Box: 8004, Zurich",,,,
Art.I.schock GmbH,"Schöntalstrasse 20, P.O. Box: 8004, Zurich",,,,
Artiana SA,"Nüschelerstrasse 31, P.O. Box: 8001, Zurich",,,,
Art of Work Personalberatung AG,"Rennweg 42, P.O. Box: 8001, Zurich",,,,
A. Saesseli & Co Ag,"Pflanzschulstrasse 17 8400 Winterthur, Zurich",,,,"47 29m 43.9984s N, 8 44m 23.3819s E"
Asbest ZM Sanierungen GmbH,"Letzigraben 134a, P.O. Box: 8047, Zurich",,,,
Ascot,"Tessinerplatz 9, P.O. Box: 8002, Zurich",,,,
"ASIATIK, Südostasienreisen","Stampfenbachplatz 4, P.O. Box: 8006, Zurich",,,,
ASN AG,"Bederstrasse 51, P.O. Box: 8002, Zurich",,,,
Atelier für Orthopädie Technik Bellmann,"Seebahnstrasse 31, P.O. Box: 8003, Zurich",,,,
Atelier Marcel Hohl,"Schaffhauserstrasse 248, P.O. Box: 8057, Zurich",,,,
Atelier P3 AG,"Hardturmstrasse 175, P.O. Box: 8005, Zurich",,,,
Atelier Blumen,"Forchstrasse 331, P.O. Box: 8008, Zurich",,,,
Atlantis Reisen AG,"Löwenstrasse 1, P.O. Box: 8001, Zurich",,,,
Atupri Krankenkasse,"Baumackerstrasse 42, P.O. Box: 8050, Zurich",,,,
Auktionshaus Ineichen AG,"Stadthausquai 11-13, P.O. Box: 8001, Zurich",,,,
Autohilfe Zürich,"Weststrasse 196, P.O. Box: 8003, Zurich",,,,
Auto Ecker AG,"Freilagerstrasse 27, P.O. Box: 8047, Zurich",,,,
Auto Steiner Zürich AG,"Luchswiesenstrasse 220 /Winterthurerstr. 700, P.O. Box: 8051, Zurich",,,,
Auto Point AG,"Badenerstrasse 360, P.O. Box: 8004, Zurich",,,,
AVIA Osterwalder Zürich AG,"Neunbrunnenstrasse 38, P.O. Box: 8050, Zurich",,,,
AZAG Zürich,"Schaffhauserstrasse 373, P.O. Box: 8050, Zurich",,,,
AZ ELEKTRO AG,"Hardturmstrasse 185, P.O. Box: 8005, Zurich",,,,
a-zZ Umbau & Renovation AG,"Tödistrasse 52a, P.O. Box: 8002, Zurich",,,,
Bad-Ideen Cortese,"Bachwiesenstrasse 119, P.O. Box: 8047, Zurich",,,,
Bäckerei Happy AG,"Dienerstrasse 32, P.O. Box: 8004, Zurich",,,,
Baer Hans U.,"Witellikerstrasse 40, P.O. Box: 8008, Zurich",,,,
Bär Marc,"Streulistrasse 14, P.O. Box: 8032, Zurich",,,,
Baermed.,"Witellikerstrasse 40, P.O. Box: 8008, Zurich",,,,
Bahnhofplatz,"Bahnhofplatz 7, P.O. Box: 8001, Zurich",,,,
Bank Hapoalim (Schweiz) AG,"Stockerstrasse 33, P.O. Box: 8002, Zurich",,,,
Banknoten Münzenhandlung Erwin Dietrich AG,"Werdmühleplatz 4, P.O. Box: 8001, Zurich",,,,
Baronowski Heidrun,"Talacker 35, P.O. Box: 8001, Zurich",,,,
Barté GmbH,"Rautistrasse 60, P.O. Box: 8048, Zurich",,,,
Baur au Lac,"Talstrasse 1, P.O. Box: 8001, Zurich",,,,
Baur au Lac Vins,"HB Plaza, P.O. Box: 8001, Zurich",,,,
Baumann & Cie Banquiers,"Bellevueplatz 5, P.O. Box: 8001, Zurich",,,,
Baumgartner REHA-FAHRZEUGE,"Zurlindenstrasse 140, P.O. Box: 8003, Zurich",,,,
Baumgartner Stephan,"Badenerstrasse 460, P.O. Box: 8004, Zurich",,,,
Bau- und Möbelschreinerei,"Froschaugasse 9, P.O. Box: 8001, Zurich",,,,
B-Consulting Group AG,"Asylstrasse 39, P.O. Box: 8032, Zurich",,,,
Beba,"Schaffhauserstrasse 405, P.O. Box: 8050, Zurich",,,,
Beer Treuhand GmbH,"Bucheggstrasse 35, P.O. Box: 8037, Zurich",,,,
Beer AG,"St. Peterhofstatt 10, P.O. Box: 8001, Zurich",,,,
Beer AG Buchhandlung,"St. Peterhofstatt 10, P.O. Box: 8001, Zurich",,,,
Begegnungszentrum für Sehbehinderte der Zürcher Sehhilfe,"Lutherstrasse 14, P.O. Box: 8004, Zurich",,,,
Bellingua GmbH,"Löwenstrasse 14, P.O. Box: 8001, Zurich",,,,
Bellini Personal AG,"Stauffacherstrasse 35, P.O. Box: 8004, Zurich",,,,
Berufsberatung,"Konradstrasse 58/60, P.O. Box: 8005, Zurich",,,,
Berlitz Schools of Languages AG,"Theaterstrasse 12, P.O. Box: 8001, Zurich",,,,
Bernet PR,"Olgastrasse 8, P.O. Box: 8001, Zurich",,,,
"Beratung und Rehabilitation für Sehbehinderte, Zürcher Sehhilfe","Lutherstrasse 14, P.O. Box: 8004, Zurich",,,,
Betten-Züri AG,"Letzigraben 89, P.O. Box: 8003, Zurich",,,,
Beton-Injektionen,"Rautistrasse 8, P.O. Box: 8047, Zurich",,,,
Billiardino Züri West GmbH,"Heinrichstrasse 245, P.O. Box: 8005, Zurich",,,,
Bildungszentrum für Erwachsene BiZE,"Riesbachstrasse 11, P.O. Box: 8008, Zurich",,,,
BIOTHEKE - Winkelried Apotheke AG,"Universitätstrasse 100, P.O. Box: 8006, Zurich",,,,
Bischofberger Info-Reisen AG,"Dufourstrasse 157, P.O. Box: 8008, Zurich",,,,
BKG Architekten AG,"Münchsteig 10, P.O. Box: 8008, Zurich",,,,
Blaue Ente,"Seefeldstrasse 223, P.O. Box: 8008, Zurich",,,,
Black Cat Tattoo & Piercing,"im Chimlimärt, Bahnstrasse 16, Schwerzenbach, Zurich",,,  Verified,
Bleuler,"Feusisbergli 25, P.O. Box: 8048, Zurich",,,,
Blindenwohnheim Mühlehalde,"Witikonerstrasse 100, P.O. Box: 8032, Zurich",,,,
Blindenfürsorge,"Lutherstrasse 14, P.O. Box: 8004, Zurich",,,,
Blumen Schipfe AG Abplanalp Floristen,"Schipfe 25, P.O. Box: 8001, Zurich",,,,
Blumenzauber,"Seefeldstrasse 77, P.O. Box: 8008, Zurich",,,,
BMB Büromöbel Börse AG,"Ueberlandstrasse 370, P.O. Box: 8051, Zurich",,,,
B+O Bankett- & Objektmöbel GmbH,"Badenerstrasse 144, P.O. Box: 8004, Zurich",,,,
Bodnar A.,"Alfred-Escher-Strasse 38, P.O. Box: 8002, Zurich",,,,
Boffi Zürich AG,"Seestrasse 455, P.O. Box: 8038, Zurich",,,,
Both Alexandre,"Seefeldstrasse 123, P.O. Box: 8008, Zurich",,,,
Boutique Vulcania GmbH,"Badenerstrasse 119, P.O. Box: 8004, Zurich",,,,
Brasserie Restaurant Lipp,"Uraniastrasse 9, P.O. Box: 8001, Zurich",,,,
Brasserie Lipp,"Uraniastrasse 9, P.O. Box: 8001, Zurich",,,,
Brandabschottungen,"Rautistrasse 8, P.O. Box: 8047, Zurich",,,,
Brändli Gian,"Seefeldstrasse 123, P.O. Box: 8008, Zurich",,,,
"Brancaia, Vinothek","Seefeldstrasse 299, P.O. Box: 8008, Zurich",,,,
bretscher + partner,"Münstergasse 9, P.O. Box: 8001, Zurich",,,,
Brockenhaus Zürcher,"Neugasse 11, P.O. Box: 8005, Zurich",,,,
Brockenhaus,"Neugasse 11, P.O. Box: 8005, Zurich",,,,
Brogues and more,"Talstrasse 20, P.O. Box: 8001, Zurich",,,,
Brunau-Stiftung,"Edenstrasse 20, P.O. Box: 8045, Zurich",,,,
BRUNAU GARAGE Stocker Doris,"Brunaustrasse 89, P.O. Box: 8002, Zurich",,,,
BRUPPACHER Verwaltungs AG,"Waldmannstrasse 4, P.O. Box: 8001, Zurich",,,,
Brunner R. AG,"Josefstrasse 180, P.O. Box: 8005, Zurich",,,,
BRUNAU GARAGE,"Brunaustrasse 89, P.O. Box: 8002, Zurich",,,,
Buck AG,"Baslerstrasse 44, P.O. Box: 8048, Zurich",,,,
budgetkurier.ch,"Hardturmstrasse 121, P.O. Box: 8005, Zurich",,,,
Bürke AG,"Badenerstrasse 329, P.O. Box: 8003, Zurich",,,,
Bühler Sandra (-Egli),"Seefeldstrasse 123, P.O. Box: 8008, Zurich",,,,
Buonvini,"Zeughausstrasse 67, P.O. Box: 8004, Zurich",,,,
Burri Optik GmbH,"Uraniastrasse 22, P.O. Box: 8001, Zurich",,,,
Burger Zürich,"Bahnhofstrasse 42, P.O. Box: 8001, Zurich",,,,
Business & Decision AG,"Löwenstrasse 12, P.O. Box: 8001, Zurich",,,,
BUYFOOD.CH,"Leutschenbacstrasse 95, Zurich",,,  Verified,
BWT Bau AG,"Luegislandstrasse 261, P.O. Box: 8051, Zurich",,,,
Caecilia,"Rennweg 15, P.O. Box: 8001, Zurich",,,,
Cao Claude Andreas,"Mühlebachstrasse 37, Bhf. Stadelhofen, P.O. Box: 8008, Zurich",,,,
Capetra GmbH,"Bodenacherring 33, Zurich",,,  Verified,"47 26m 22.7328s N, 8 37m 52.3614s E"
Caretta + Weidmann Baumanagement AG,"Langgrütstrasse 112, P.O. Box: 8047, Zurich",,,,
Car4you Schweiz AG,"Bürglistrasse 6, P.O. Box: 8002, Zurich",,,,
Carrosserie Oerlike TL AG,"Schaffhauserstrasse 307, P.O. Box: 8050, Zurich",,,,
Careum Bildungszentrum,"Gloriastrasse 16, P.O. Box: 8006, Zurich",,,,
Careum Dentalhygiene,"Minervastrasse 99, P.O. Box: 8032, Zurich",,,,
Cartier C. Michael,"Seefeldstrasse 123, P.O. Box: 8008, Zurich",,,,
Caritasaktion der Blinden (CAB),"Schrennengasse 26, P.O. Box: 8003, Zurich",,,,
Casa Mia,"Werdmühleplatz 3, P.O. Box: 8001, Zurich",,,,
CBD Öl kaufen vaporspirit,"Rosengartenstr. 3, Zurich",,,  Verified,"47 23m 36.1302s N, 8 31m 27.8746s E"
CBH - Compagnie Bancaire Helvétique SA,"Schützengasse 25, P.O. Box: 8001, Zurich",,,,
CDL Bruno Käppeli AG,"Förrlibuckstrasse 60, P.O. Box: 8005, Zurich",,,,
Central Plaza,"Central 1, P.O. Box: 8001, Zurich",,,,
CENTRAL MUSIC,"Seilergraben 61, P.O. Box: 8001, Zurich",,,,
Certas AG,"Kalkbreitestrasse 51, P.O. Box: 8003, Zurich",,,,
Chopard Boutique,"Bahnhofstrasse 40, P.O. Box: 8001, Zurich",,,,
Choice Ltd,"Klosbachstrasse 103, P.O. Box: 8032, Zurich",,,,
Christen Waagen AG,"Badenerstrasse 634, P.O. Box: 8048, Zurich",,,,
Christina Vassalli,"Zollikerstrasse 153, P.O. Box: 8008, Zurich",,,,
City Druck AG,"Staffelstrasse 12, P.O. Box: 8045, Zurich",,,,
City Hotel Restaurant Bar,"Löwenstrasse 34, P.O. Box: 8001, Zurich",,,,
Clavadetscher Patrik,"Drahtzugstrasse 18, P.O. Box: 8008, Zurich",,,,
