,address_shop,name_shop,rating_shop,lat_shop,lng_shop,supermarket_brand
61,"Josefstrasse 92, 8005 Zürich, Switzerland",Denner Express,4.1,47.3832011,8.5309637,Denner
62,"Fierzgasse 18, 8005 Zürich, Switzerland",Denner Discount,4.2,47.383876,8.531965,Denner
63,"Limmatstrasse 152, 8005 Zürich, Switzerland",Denner Discount,4.3,47.3857951,8.531932800000002,Denner
64,"Molkenstrasse 8, 8004 Zürich, Switzerland",Denner Express,4.1,47.37662879999999,8.5272296,Denner
65,"Kreuzstrasse 40, 8008 Zürich, Switzerland",Denner Express,4.1,47.3633856,8.5504429,Denner
66,"Birmensdorferstrasse 320, 8055 Zürich, Switzerland",Denner Discount,4.1,47.370075299999996,8.5087137,Denner
67,"Apollostrasse 2, 8032 Zürich, Switzerland",Denner Express,4.2,47.364459000000004,8.5556508,Denner
68,"Hottingerstrasse 52, 8032 Zürich, Switzerland",Denner Express,4.5,47.3690299,8.5558873,Denner
69,"Birmensdorferstrasse 406, 8055 Zürich, Switzerland",Denner Discount,4.2,47.369243,8.5030427,Denner
70,"Baslerstrasse 50, 8048 Zürich, Switzerland",Denner Discount,4.0,47.38579319999999,8.499642300000001,Denner
71,"Forchstrasse 261, 8032 Zürich, Switzerland",Denner Express,4.3,47.35840169999999,8.5717004,Denner
72,"Bockhornstrasse 1, 8047 Zürich, Switzerland",Denner Discount,4.1,47.3759232,8.4840027,Denner
73,"Toblerstrasse 76, 8044 Zürich, Switzerland",Denner Express,4.0,47.3790895,8.5597661,Denner
74,"Letzigraben 120, 8047 Zürich, Switzerland",Denner Discount,4.3,47.3765558,8.4973795,Denner
75,"Landenbergstrasse 22, 8037 Zürich, Switzerland",Denner Express,4.1,47.3927776,8.528612899999999,Denner
76,"Schaffhauserstrasse 11, 8006 Zürich, Switzerland",Denner Express,4.1,47.3888953,8.5388634,Denner
77,"Lindenpl. 4, 8048 Zürich, Switzerland",Denner Express,4.0,47.3872504,8.4860262,Denner
78,"im OG, Altstetterstrasse 145, 8048 Zürich, Switzerland",Denner Discount,4.3,47.3884662,8.486958999999999,Denner
79,"Winterthurerstrasse 83, 8006 Zürich, Switzerland",Denner Express,4.3,47.39069310000001,8.545193099999999,Denner
