geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,formatted_address,name,rating,search_name,search_postal_code
47.43758682989272,8.569707829892721,"Schaffhauserstrasse 141, 8152 Opfikon, Switzerland",DENNER DISCOUNT,4.2,DENNER, 8050
47.40926217989272,8.598071029892722,"Neue Winterthurerstrasse 99, 8304 Wallisellen, Switzerland",DENNER DISCOUNT,4.2,DENNER, 8050
47.43253902989272,8.560672929892723,"Bahnhofpl. 8a, 8152 Opfikon, Switzerland",DENNER EXPRESS,5.0,DENNER, 8052
47.36360332989273,8.518224329892721,"Grubenstrasse 10, 8045 Zürich, Switzerland",DENNER,3.2,DENNER, 8055
47.37636967989273,8.537603979892724,"Löwenstrasse 31, 8001 Zürich, Switzerland",ALNATURA BIO SUPER MARKT,4.6,ALNATURA, 8001
47.37972157989272,8.537054879892722,"Sihlquai, 8001 Zürich, Switzerland",ALNATURA BIO SUPER MARKT,4.5,ALNATURA, 8001
47.37568492989272,8.545351779892721,"Mühlegasse 11, 8001 Zürich, Switzerland",ALNATURA BIO SUPER MARKT,3.8,ALNATURA, 8001
47.40471842989272,8.499368129892725,"Kappenbühlweg 5, 8049 Zürich, Switzerland",ALNATURA BIO SUPER MARKT,4.4,ALNATURA, 8002
47.41047877989271,8.544892979892722,"Baumackerstrasse 35, 8050 Zürich, Switzerland",ALNATURA BIO SUPER MARKT,4.5,ALNATURA, 8002
47.36577177989271,8.555593329892721,"Kreuzpl. 20, 8008 Zürich, Switzerland",ALNATURA BIO SUPER MARKT,4.6,ALNATURA, 8002
47.40997402989272,8.59662667989272,"Einkaufszentrum Glatt, Neue Winterthurerstrasse 99, 8304 Wallisellen, Switzerland",ALNATURA BIO SUPER MARKT,4.0,ALNATURA, 8005
47.52254682989273,8.541283229892722,"Bahnhofstrasse 28, 8180 Bülach, Switzerland",ALNATURA BIO SUPER MARKT,4.4,ALNATURA, 8008
47.17463112989272,8.518254279892721,"Baarerstrasse 22, 6300 Zug, Switzerland",ALNATURA BIO SUPER MARKT,4.2,ALNATURA, 8008
47.49801477989272,8.754350379892722,"Industriestrasse 11, 8400 Winterthur, Switzerland",ALNATURA BIO SUPER MARKT,4.5,ALNATURA, 8008
